trade_date,open,high,close,low,vol
20190102,5.69,5.75,5.72,5.64,31957.35
20190103,5.72,5.78,5.65,5.65,26480.88
20190104,5.61,5.83,5.79,5.57,62954.02
20190107,5.85,6.16,6.06,5.82,69202.14
20190108,6.13,6.16,6.15,6.07,49066.19
20190109,6.19,6.2,6.11,6.09,50109.53
20190110,6.11,6.72,6.4,6.11,165109.15
20190111,6.34,6.48,6.4,6.3,92566.47
20190114,6.35,6.49,6.33,6.31,67305.33
20190115,6.36,6.39,6.34,6.26,58653.41
20190116,6.38,6.6,6.31,6.31,65267.35
20190117,6.36,6.65,6.48,6.3,95777.38
20190118,6.42,6.56,6.45,6.39,57827.45
20190121,6.45,6.49,6.44,6.4,45976.34
20190122,6.48,6.48,6.3,6.27,56990.59
20190123,6.29,6.45,6.43,6.29,54188.1
20190124,6.45,6.59,6.59,6.36,86693.69
20190125,6.61,6.65,6.48,6.45,70092.58
20190128,6.58,7.13,7.13,6.58,274470.69
20190129,7.42,7.84,7.84,7.25,564693.75
20190130,7.55,8.62,8.04,7.55,727058.59
20190131,7.8,8.84,8.51,7.8,683275.12
20190201,8.25,8.65,8.35,8.0,432810.62
20190211,8.5,8.61,8.61,8.23,376523.2
20190212,8.55,8.78,8.38,8.25,410200.33
20190213,8.25,8.43,8.35,8.14,321053.38
20190214,8.31,9.19,9.19,8.19,621319.63
20190215,9.26,9.56,9.01,8.95,514561.24
20190218,8.88,9.64,9.39,8.85,474645.87
20190219,9.32,9.87,9.37,9.31,317073.54
20190220,9.36,9.7,9.55,9.21,203099.39
20190221,9.41,9.63,9.27,9.25,240053.39
20190222,9.1,10.1,9.87,9.07,230782.55
20190225,10.0,10.86,10.85,10.0,405312.53
20190226,10.65,11.09,10.44,10.34,275539.88
20190227,10.37,10.44,9.4,9.4,419349.71
20190228,9.38,9.54,9.48,9.26,99202.22
20190301,9.49,9.5,9.31,9.12,145932.52
20190304,9.4,9.82,9.51,9.4,218331.89
20190305,9.51,9.81,9.73,9.46,153263.24
20190306,9.76,10.46,10.2,9.6,268093.19
20190307,10.01,10.22,10.06,9.93,165435.13
20190308,9.72,9.98,9.23,9.2,135757.42
20190311,9.24,10.15,10.15,9.23,240577.09
20190312,10.35,10.92,10.41,10.18,295591.03
20190313,10.59,10.9,10.17,10.08,206835.96
20190314,10.22,10.71,10.17,10.13,195458.36
20190315,10.4,10.59,9.97,9.97,161336.99
20190318,10.09,10.66,10.55,9.92,177818.72
20190319,10.55,10.66,10.41,10.25,115308.37
20190320,10.32,10.43,10.32,10.06,94688.05
20190321,10.33,10.5,10.33,10.13,110442.96
20190322,10.35,10.4,10.11,10.08,87071.23
20190325,9.15,10.46,9.99,9.15,132423.18
20190326,10.05,10.44,9.75,9.7,120377.32
20190327,9.8,10.25,10.07,9.57,100099.94
20190328,9.98,10.8,10.56,9.97,186953.09
20190329,10.5,11.44,10.95,10.5,236889.68
20190401,11.0,11.99,11.68,11.0,286922.42
20190402,11.68,12.46,11.89,11.58,230123.45
20190403,11.89,12.11,12.0,11.67,132417.42
20190404,12.02,12.22,12.0,11.7,120199.46
20190408,11.99,12.15,11.54,11.35,124209.7
20190409,11.62,11.7,11.57,11.4,69812.86
20190410,11.63,11.63,10.9,10.48,329850.42
20190411,10.84,11.14,10.86,10.5,162154.92
20190412,10.86,11.05,10.85,10.56,99592.59
20190415,11.0,11.03,10.6,10.54,108798.03
20190416,10.5,10.67,10.63,10.16,107519.85
20190417,10.6,11.18,10.76,10.45,191660.34
20190418,10.66,11.12,10.86,10.63,112265.07
20190419,10.88,10.98,10.65,10.58,83651.42
20190422,10.67,10.99,10.67,10.61,88999.19
20190423,10.7,10.79,10.48,10.2,89763.66
20190424,10.48,10.59,10.5,10.32,44480.17
20190425,10.49,10.62,10.02,9.92,100885.98
20190426,10.04,10.25,10.09,9.93,57835.78
20190429,10.3,10.42,10.1,10.03,78485.66
20190430,10.15,10.42,10.15,10.05,67757.35
20190506,9.93,10.0,9.46,9.28,94639.0
20190507,9.47,9.9,9.79,9.47,62613.01
20190508,9.74,10.35,10.06,9.59,84691.39
20190509,10.0,10.25,9.93,9.86,48089.48
20190510,10.0,10.45,10.4,9.9,82509.63
20190513,10.34,10.68,10.42,10.26,81612.64
20190514,10.3,10.73,10.49,10.29,90431.41
20190515,10.65,11.54,11.54,10.61,261685.16
20190516,11.7,12.14,11.48,11.33,272730.33
20190517,11.49,11.67,11.38,11.15,151705.01
20190520,11.37,11.48,11.03,10.71,115087.98
20190521,10.96,11.2,11.05,10.93,65162.5
20190522,11.09,11.42,10.98,10.86,88071.29
20190523,10.85,11.25,10.98,10.83,74021.86
20190524,10.92,10.92,10.65,10.58,56916.41
