trade_date,open,high,close,low,vol
20190102,4.35,4.38,4.29,4.25,147994.89
20190103,4.19,4.22,3.9,3.86,340616.86
20190104,3.81,4.03,4.0,3.76,205949.94
20190107,4.02,4.07,4.03,3.99,167896.83
20190108,4.0,4.09,4.05,3.96,129234.22
20190109,4.03,4.19,4.06,4.03,164969.29
20190110,4.05,4.1,4.05,4.03,111176.2
20190111,4.06,4.09,4.01,3.96,139689.52
20190114,4.02,4.03,3.95,3.93,99360.72
20190115,3.98,4.06,4.04,3.95,94210.72
20190116,4.05,4.25,4.16,4.03,236604.4
20190117,4.11,4.14,4.09,4.04,140917.48
20190118,4.1,4.13,4.11,4.06,106421.04
20190121,4.09,4.13,4.08,4.06,97968.8
20190122,4.08,4.34,4.2,4.06,275886.17
20190123,4.14,4.16,4.12,4.08,146151.22
20190124,4.13,4.17,4.12,4.09,98363.6
20190125,4.07,4.11,4.03,4.0,127254.62
20190128,4.05,4.14,4.04,4.0,85509.21
20190129,4.04,4.05,3.98,3.9,91242.5
20190130,3.96,4.08,3.91,3.89,100876.62
20190131,3.92,3.95,3.84,3.83,76575.4
20190201,3.87,3.96,3.95,3.87,67868.36
20190211,3.96,4.02,4.02,3.95,97236.76
20190212,4.01,4.26,4.17,4.0,202554.51
20190213,4.14,4.26,4.24,4.13,211179.94
20190214,4.22,4.44,4.39,4.19,277521.99
20190215,4.38,4.42,4.41,4.32,210794.5
20190218,4.52,4.58,4.56,4.44,235469.21
20190219,5.02,5.02,5.02,5.02,137181.42
20190220,5.52,5.52,5.18,5.05,1029192.83
20190221,5.0,5.08,4.92,4.88,572598.57
20190222,4.97,4.98,4.94,4.85,346195.04
20190225,5.0,5.24,5.16,4.86,647096.36
20190226,5.1,5.13,5.01,4.96,433790.61
20190227,4.96,5.09,5.01,4.93,265610.63
20190228,5.02,5.12,5.06,5.0,286906.25
20190301,5.05,5.08,5.02,4.93,215418.08
20190304,5.05,5.22,5.09,5.01,456305.25
20190305,5.09,5.17,5.16,5.07,297805.91
20190306,5.15,5.35,5.26,5.07,459961.51
20190307,5.21,5.35,5.25,5.15,398489.43
20190308,5.16,5.19,4.87,4.8,347193.47
20190311,4.9,5.04,5.01,4.87,214479.18
20190312,5.02,5.09,5.01,4.94,255476.6
20190313,5.01,5.12,5.03,4.97,246676.72
20190314,5.04,5.05,4.83,4.76,207062.28
20190315,4.81,5.05,5.0,4.8,230610.39
20190318,5.06,5.29,5.24,5.01,366527.64
20190319,5.3,5.5,5.48,5.23,497832.37
20190320,5.47,5.52,5.31,5.15,399792.38
20190321,5.32,5.39,5.25,5.2,304818.72
20190322,5.26,5.38,5.29,5.21,208494.17
20190325,5.2,5.53,5.26,5.17,328670.15
20190326,5.32,5.39,5.2,5.17,228445.25
20190327,5.22,5.26,5.2,5.07,159393.59
20190328,5.18,5.18,4.97,4.93,205297.06
20190329,5.03,5.15,5.12,4.89,169087.28
20190401,5.12,5.33,5.3,5.12,264952.43
20190402,5.47,5.51,5.27,5.22,289885.1
20190403,5.3,5.56,5.52,5.24,481700.72
20190404,5.58,5.63,5.46,5.38,309495.15
20190408,5.47,5.51,5.42,5.29,211320.49
20190409,5.42,5.55,5.42,5.37,254983.75
20190410,5.42,5.58,5.51,5.32,313039.12
20190411,5.51,5.55,5.33,5.31,235307.87
20190412,5.31,5.36,5.25,5.21,142694.12
20190415,5.26,5.34,5.14,5.12,172642.93
20190416,5.14,5.23,5.22,5.0,231782.14
20190417,5.2,5.26,5.23,5.16,152117.88
20190418,5.24,5.24,5.13,5.12,121480.44
20190419,5.17,5.18,5.18,5.07,101269.74
20190422,5.2,5.2,5.09,5.05,101803.36
20190423,5.08,5.08,4.97,4.93,140080.19
20190424,4.96,5.09,5.03,4.89,136377.68
20190425,5.0,5.0,4.73,4.73,176352.23
20190426,4.72,4.75,4.64,4.62,86864.12
20190429,4.67,4.71,4.49,4.46,98930.82
20190430,4.5,4.62,4.54,4.5,58857.64
20190506,4.46,4.46,4.15,4.14,132041.99
20190507,4.2,4.25,4.21,4.12,70423.2
20190508,4.13,4.27,4.17,4.11,55296.44
20190509,4.13,4.23,4.16,4.13,46381.8
20190510,4.17,4.27,4.27,4.1,69804.64
20190513,4.21,4.26,4.15,4.13,78699.2
20190514,4.12,4.18,4.13,4.06,62454.4
20190515,4.15,4.22,4.21,4.13,54189.51
20190516,4.21,4.28,4.26,4.2,103816.93
20190517,4.27,4.28,4.08,4.06,93199.24
20190520,4.04,4.08,3.99,3.88,85179.4
20190521,4.0,4.1,4.09,3.98,52456.41
20190522,4.09,4.44,4.27,3.99,185208.94
20190523,4.18,4.2,4.03,4.0,151490.0
20190524,4.06,4.06,4.02,3.97,72238.71
20190527,4.01,4.1,4.1,4.0,62139.6
20190528,4.09,4.14,4.05,4.03,80888.8
20190529,4.03,4.09,4.05,4.01,54051.31
20190530,4.04,4.05,4.01,3.97,87380.43
20190531,4.02,4.06,4.01,4.0,54840.56
20190603,4.03,4.06,4.0,3.98,63976.73
20190604,3.98,3.98,3.93,3.9,63524.9
20190605,3.96,3.98,3.93,3.93,42165.73
20190606,3.93,3.94,3.83,3.83,45011.21
20190610,3.85,3.91,3.88,3.83,30308.21
20190611,3.92,4.02,4.0,3.86,77188.62
20190612,3.98,4.06,4.01,3.98,53966.63
20190613,4.0,4.03,4.01,3.97,38666.4
20190614,4.02,4.06,3.97,3.96,74661.8
20190617,3.96,3.99,3.95,3.92,47970.95
20190618,3.98,3.99,3.95,3.94,32882.35
20190619,4.02,4.04,3.98,3.98,43894.64
20190620,3.98,4.05,4.03,3.94,83287.35
20190621,4.03,4.09,4.07,4.03,92557.46
20190624,4.08,4.11,4.05,4.03,65691.1
20190625,4.07,4.07,4.04,4.0,60959.53
20190626,4.06,4.14,4.09,4.04,71092.8
20190627,4.08,4.1,4.06,4.04,65970.19
20190628,4.07,4.07,4.01,4.0,54117.23
20190701,4.05,4.1,4.1,4.04,89147.35
20190702,4.1,4.51,4.25,4.09,278099.55
20190703,4.17,4.18,4.13,4.07,184696.06
20190704,4.12,4.27,4.18,4.12,144486.17
20190705,4.19,4.27,4.22,4.18,123121.48
20190708,4.2,4.2,4.06,4.04,98373.16
20190709,4.06,4.08,4.07,4.01,67281.32
20190710,4.05,4.12,4.09,4.04,57923.49
20190711,4.1,4.14,4.08,4.01,55236.6
20190712,4.05,4.1,4.09,4.03,36995.09
20190715,4.09,4.1,4.08,4.01,56783.94
20190716,4.08,4.09,4.08,4.05,36008.95
20190717,4.08,4.09,4.05,4.04,42811.45
20190718,4.01,4.02,3.9,3.9,60194.17
20190719,3.91,3.97,3.94,3.9,34403.3
20190722,3.93,3.95,3.84,3.83,60812.27
20190723,3.85,3.88,3.88,3.84,25814.2
20190724,3.89,3.94,3.92,3.88,29559.15
20190725,3.92,3.92,3.89,3.89,36374.04
20190726,3.88,3.91,3.89,3.86,29329.87
20190729,3.9,3.91,3.88,3.87,16016.05
20190730,3.89,3.94,3.88,3.88,42044.87
20190731,3.89,3.91,3.86,3.85,30114.06
20190801,3.86,3.87,3.84,3.82,22874.76
20190802,3.75,3.79,3.76,3.75,45185.99
20190805,3.77,3.78,3.7,3.69,30928.18
20190806,3.6,3.66,3.6,3.53,64286.28
20190807,3.61,3.64,3.62,3.61,24658.34
20190808,3.63,3.65,3.61,3.59,24515.93
20190809,3.63,3.65,3.57,3.56,19653.41
20190812,3.56,3.62,3.62,3.56,37302.54
20190813,3.6,3.6,3.58,3.54,21746.86
20190814,3.61,3.64,3.6,3.6,22403.75
20190815,3.53,3.57,3.56,3.39,31017.53
20190816,3.56,3.6,3.58,3.55,26046.39
20190819,3.61,3.7,3.68,3.6,60541.02
20190820,3.68,3.78,3.69,3.67,55106.86
20190821,3.69,3.77,3.75,3.67,48356.19
20190822,3.77,3.77,3.72,3.71,29160.98
20190823,3.71,3.74,3.69,3.68,31453.11
20190826,3.61,3.64,3.62,3.59,33607.69
20190827,3.64,3.71,3.68,3.62,36777.37
20190828,3.68,3.74,3.71,3.67,41068.14
20190829,3.72,3.93,3.76,3.7,93978.2
20190830,3.77,3.78,3.65,3.64,63934.86
20190902,3.68,3.74,3.7,3.65,38325.26
20190903,3.71,3.75,3.73,3.71,31694.44
20190904,3.73,3.82,3.82,3.71,76296.68
20190905,3.82,3.86,3.8,3.79,91872.99
20190906,3.84,3.84,3.8,3.78,37011.2
20190909,3.85,3.85,3.84,3.8,60443.66
20190910,3.83,3.85,3.84,3.82,43597.0
20190911,3.85,3.87,3.82,3.82,40098.2
20190912,3.85,3.87,3.87,3.82,44462.39
20190916,3.86,3.87,3.85,3.83,39734.5
20190917,3.84,3.84,3.75,3.73,52955.4
20190918,3.77,3.81,3.79,3.76,38996.67
20190919,3.79,3.82,3.82,3.76,25879.13
20190920,3.84,3.86,3.85,3.81,45474.78
20190923,3.86,3.86,3.77,3.76,34262.83
20190924,3.78,3.8,3.78,3.76,18263.74
20190925,3.76,3.77,3.7,3.68,27361.8
20190926,3.73,3.73,3.66,3.62,26167.21
20190927,3.63,3.69,3.64,3.63,22856.52
20190930,3.64,3.72,3.63,3.6,24072.76
20191008,3.63,3.68,3.65,3.62,17034.28
20191009,3.63,3.75,3.71,3.62,24849.3
20191010,3.73,3.73,3.72,3.68,32186.01
20191011,3.72,3.74,3.73,3.68,30812.42
20191014,3.8,3.89,3.82,3.8,86497.37
20191015,3.82,4.09,3.93,3.8,177036.94
20191016,3.88,3.88,3.8,3.75,123474.9
20191017,3.77,3.82,3.76,3.73,49955.99
20191018,3.74,3.77,3.69,3.68,38703.8
20191021,3.68,3.73,3.69,3.65,21419.16
20191022,3.7,3.75,3.73,3.68,24516.74
20191023,3.73,3.73,3.69,3.67,27723.2
20191024,3.67,3.7,3.69,3.65,29339.48
20191025,3.69,3.73,3.73,3.68,24979.99
20191028,3.75,3.76,3.74,3.7,28177.43
20191029,3.74,3.75,3.69,3.69,24357.24
20191030,3.69,3.69,3.64,3.63,22544.6
20191031,3.65,3.66,3.62,3.61,20260.92
20191101,3.63,3.66,3.66,3.61,17312.56
20191104,3.67,3.67,3.64,3.62,23716.23
20191105,3.65,3.68,3.64,3.62,19812.6
20191106,3.63,3.65,3.63,3.61,17526.11
20191107,3.64,3.77,3.71,3.63,51389.57
20191108,3.73,3.74,3.66,3.65,42625.02
20191111,3.62,3.65,3.53,3.52,31142.67
20191112,3.56,3.56,3.52,3.45,25861.4
20191113,3.54,3.54,3.53,3.5,16803.18
20191114,3.54,3.56,3.55,3.52,8432.15
20191115,3.55,3.55,3.47,3.46,18957.4
20191118,3.47,3.51,3.48,3.46,17195.7
20191119,3.5,3.54,3.53,3.48,15247.81
